date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:12	339353/339353	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-52d99%22	http://unionagency.one/exzo/index6.html	D:/my%20websites/template1/unionagency.one/exzo/index6.html	(from )
18:39:13	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Sep%202023%2013:09:13%20GMT	http://unionagency.one/robots.txt		(from )
18:39:15	10798/10798	---MCZ	200	added ('OK')	text/css	etag:W/%2257c6d494-2a2e%22	http://unionagency.one/exzo/css/bootstrap.extension.css	D:/my%20websites/template1/unionagency.one/exzo/css/bootstrap.extension.css	(from http://unionagency.one/exzo/index6.html)
18:39:15	117266/117266	---MCZ	200	added ('OK')	text/css	etag:W/%2257c6d494-1ca12%22	http://unionagency.one/exzo/css/bootstrap.min.css	D:/my%20websites/template1/unionagency.one/exzo/css/bootstrap.min.css	(from http://unionagency.one/exzo/index6.html)
18:39:19	106649/106649	---MCZ	200	added ('OK')	text/css	etag:W/%2257d8f1b0-1a099%22	http://unionagency.one/exzo/css/style.css	D:/my%20websites/template1/unionagency.one/exzo/css/style.css	(from http://unionagency.one/exzo/index6.html)
18:39:19	21612/21612	---MCZ	200	added ('OK')	text/css	etag:W/%2257c6d494-546c%22	http://unionagency.one/exzo/css/swiper.css	D:/my%20websites/template1/unionagency.one/exzo/css/swiper.css	(from http://unionagency.one/exzo/index6.html)
18:39:24	7657/7657	---MCZ	200	added ('OK')	text/css	etag:W/%2257c6d494-1de9%22	http://unionagency.one/exzo/css/sumoselect.css	D:/my%20websites/template1/unionagency.one/exzo/css/sumoselect.css	(from http://unionagency.one/exzo/index6.html)
18:39:25	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%2257c6d494-7187%22	http://unionagency.one/exzo/css/font-awesome.min.css	D:/my%20websites/template1/unionagency.one/exzo/css/font-awesome.min.css	(from http://unionagency.one/exzo/index6.html)
18:39:25	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2257c6d494-47e%22	http://unionagency.one/exzo/img/favicon.ico	D:/my%20websites/template1/unionagency.one/exzo/img/favicon.ico	(from http://unionagency.one/exzo/index6.html)
18:39:29	77515/77515	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-12ecb%22	http://unionagency.one/exzo/cart.html	D:/my%20websites/template1/unionagency.one/exzo/cart.html	(from http://unionagency.one/exzo/index6.html)
18:39:30	6883/6883	---M--	200	added ('OK')	image/png	etag:%2257c6d494-1ae3%22	http://unionagency.one/exzo/img/product-1.png	D:/my%20websites/template1/unionagency.one/exzo/img/product-1.png	(from http://unionagency.one/exzo/index6.html)
18:39:31	9470/9470	---M--	200	added ('OK')	image/png	etag:%2257c6d4d0-24fe%22	http://unionagency.one/exzo/img/product-2.png	D:/my%20websites/template1/unionagency.one/exzo/img/product-2.png	(from http://unionagency.one/exzo/index6.html)
18:39:31	233432/233432	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-38fd8%22	http://unionagency.one/exzo/index1.html	D:/my%20websites/template1/unionagency.one/exzo/index1.html	(from http://unionagency.one/exzo/index6.html)
18:39:32	9082/9082	---M--	200	added ('OK')	image/png	etag:%2257c6d4d0-237a%22	http://unionagency.one/exzo/img/product-3.png	D:/my%20websites/template1/unionagency.one/exzo/img/product-3.png	(from http://unionagency.one/exzo/index6.html)
18:39:34	263/263	---M--	200	added ('OK')	image/png	etag:%2257c6d494-107%22	http://unionagency.one/exzo/img/icon-4.png	D:/my%20websites/template1/unionagency.one/exzo/img/icon-4.png	(from http://unionagency.one/exzo/index6.html)
18:39:35	82119/82119	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-140c7%22	http://unionagency.one/exzo/checkout1.html	D:/my%20websites/template1/unionagency.one/exzo/checkout1.html	(from http://unionagency.one/exzo/index6.html)
18:39:35	692/692	---M--	200	added ('OK')	image/png	etag:%2257c6d494-2b4%22	http://unionagency.one/exzo/img/logo-2.png	D:/my%20websites/template1/unionagency.one/exzo/img/logo-2.png	(from http://unionagency.one/exzo/index6.html)
18:39:35	220585/220585	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-35da9%22	http://unionagency.one/exzo/index2.html	D:/my%20websites/template1/unionagency.one/exzo/index2.html	(from http://unionagency.one/exzo/index6.html)
18:39:37	241748/241748	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-3b054%22	http://unionagency.one/exzo/index3.html	D:/my%20websites/template1/unionagency.one/exzo/index3.html	(from http://unionagency.one/exzo/index6.html)
18:39:38	94384/94384	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-170b0%22	http://unionagency.one/exzo/about1.html	D:/my%20websites/template1/unionagency.one/exzo/about1.html	(from http://unionagency.one/exzo/index6.html)
18:39:38	88589/88589	---MCZ	200	added ('OK')	text/html	etag:W/%2258468571-15a0d%22	http://unionagency.one/exzo/index5.html	D:/my%20websites/template1/unionagency.one/exzo/index5.html	(from http://unionagency.one/exzo/index6.html)
18:39:38	208274/208274	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-32d92%22	http://unionagency.one/exzo/index4.html	D:/my%20websites/template1/unionagency.one/exzo/index4.html	(from http://unionagency.one/exzo/index6.html)
18:39:38	131194/131194	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-2007a%22	http://unionagency.one/exzo/products1.html	D:/my%20websites/template1/unionagency.one/exzo/products1.html	(from http://unionagency.one/exzo/index6.html)
18:39:39	144605/144605	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-234dd%22	http://unionagency.one/exzo/products2.html	D:/my%20websites/template1/unionagency.one/exzo/products2.html	(from http://unionagency.one/exzo/index6.html)
18:39:39	136599/136599	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-21597%22	http://unionagency.one/exzo/products3.html	D:/my%20websites/template1/unionagency.one/exzo/products3.html	(from http://unionagency.one/exzo/index6.html)
18:39:41	4987/4987	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d4d0-137b%22	http://unionagency.one/exzo/img/product-61.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-61.jpg	(from http://unionagency.one/exzo/index6.html)
